DANCER_NAME,bass 2 bass,DXY!,GLITTER,Jetcoaster Windy,KISS KISS KISS,MAX.(period),Star Gate Heaven (FUTURE LOVE Mix),創世ノート,"BRILLIANT 2U (""STREAM"" Special)",DUAL STRIKER,Somehow You Found Me,Strawberry Chu♡Chu♡,The Ashes of Boreas,tokyoEVOLVED (TYPE2),革命(X-Special),Happy Dance Day 2 U,IRON HEART,Let's DANCE aROUND!!,PARANOiA Rebirth(X-Special),Plan 8,Reach The Sky Without you,未来（ダ）FUTURE,恋閃繚乱,ACE FOR ACES,DOUBLE TORNARD,insist,Prey,The legend of MAX,Robot Footwork,ENDYMION,The History of the Future,Dance Dance Revolution(X-Special)
LI-NO,999860,999850,999680,999750,999820,999830,999810,999700,999760,999720,999780,999770,997620,999730,999770,999820,999660,997800,999730,999470,995810,999840,997740,995450,998130,997870,996860,997850,997270,986000,997010,999810
TAIIGAME,999730,999740,992950,999520,999800,998490,999780,999480,999750,999610,999570,999700,997590,---,992930,999700,999590,990760,997910,997330,992780,999780,991640,991940,995290,995140,996860,995150,994820,872570,993220,999890
IU-YOKA.,999790,999730,---,---,---,981900,---,291960,983380,993240,---,---,971690,991920,980670,990850,---,979060,988790,990840,999440,999690,998390,976810,999420,987260,992470,999520,993110,995060,947020,984730
GARAMIMI,996500,999680,989260,---,989400,933630,999710,996280,973000,991890,989320,997570,996770,893270,994560,995450,998500,992500,998980,995360,994110,998750,997890,994930,996400,994950,995790,992770,998590,985790,998780,999740
QU4RTZ,999830,999680,995420,999580,999720,992570,999710,996880,997320,999810,999670,999710,993300,974920,980360,999610,999580,957760,997290,999500,999630,997000,991640,980980,995810,995000,994030,991090,996470,993310,997000,---
LIGHTUN,999790,991360,999580,997640,988050,994580,999860,995880,991070,999080,993700,998720,989900,975100,986410,999610,997650,985690,992180,977180,996110,998810,996080,986570,997840,994290,983680,984950,994530,989120,996790,997690
LUNARTIC,999490,998470,---,992790,---,996120,998520,0,822350,998130,999660,991680,980890,959410,0,999440,999590,815370,999550,991470,738100,999670,994520,992610,999300,991970,995830,998710,996800,986370,998790,998620
SIANO,999730,999700,996450,997330,992600,988650,998620,996900,996150,999800,999720,996570,996750,993900,995270,999550,999750,995930,999590,998100,997810,999610,997800,990330,998860,993250,994460,990370,992800,992750,998050,999670
NAOTO,999740,997050,989360,---,998340,---,---,998840,---,---,997400,---,980630,---,---,995010,996670,---,997900,999620,999760,999790,997750,992230,998170,990600,993820,990780,978410,989460,---,998660
AAA,996160,997350,990550,996580,988270,949150,994900,988110,971370,992660,999510,---,---,---,984690,---,993450,969270,984070,997270,982340,998010,992820,987730,997100,989680,974490,981330,964840,978120,995050,997500
M!SH,993310,997510,999450,---,999850,989100,---,997270,---,---,998620,---,998630,994940,966270,---,---,999470,---,999590,996160,999550,536840,---,---,---,---,996260,---,---,---,999810
MOTTI,999870,999800,987140,---,999870,---,999740,997980,999740,990400,999680,999770,992490,---,994280,999550,999830,996130,999700,997060,995820,999460,987300,994280,995490,992700,991680,994400,994590,950320,999720,999640
EDA-BEAN,998480,---,975310,990820,---,939130,---,975990,974800,996430,988330,991060,---,---,970950,999840,999710,879190,982520,999610,947170,999400,994310,992220,995540,992540,994140,992640,955870,990830,984660,---
MUFFET,999720,996190,---,959180,993350,991290,949030,829710,985210,981620,930340,994390,990410,---,976730,998290,999490,978280,992830,990610,993120,999470,988270,979360,990840,992050,980000,990120,984950,978650,---,991080
TOK0?,999600,995710,998010,994390,995170,997120,995610,987950,994980,996790,998710,999810,998710,922130,997610,994300,999610,990050,978250,997940,999260,999580,994570,991170,989990,998660,993550,992730,997270,979430,996430,996490
ATYN,995400,---,---,---,987460,991350,---,996210,---,993220,995500,---,978390,---,975640,990550,990330,---,992360,998960,994170,999610,983400,---,997030,991490,998740,991340,973380,895950,997870,962620
WIZARD1,994330,998350,991510,979630,983460,991010,997280,992430,987270,998000,995330,984810,993950,991830,996340,996920,999670,990680,994510,990020,995300,997920,993890,990560,991180,984670,975590,997700,997060,980650,993100,---
CKWP,998570,998430,990340,---,999700,---,999650,996170,993700,999580,999680,996580,983540,994030,992380,998660,999390,984260,996150,996220,994230,999310,996600,984530,992090,969090,979920,980570,993760,981160,996070,997590
DORIA2,997620,999890,993130,999740,999780,999830,999770,973510,999520,999740,999750,999790,990540,990730,991290,997030,994510,996030,999650,999740,999610,996650,996040,996200,996290,994100,998690,992860,992380,997810,999530,997680
HAISHIN!,999710,990940,---,989380,999830,977250,0,998790,998330,---,997600,998690,969760,964970,992210,---,994340,---,999520,992880,983130,999430,991170,973510,---,977820,996890,991230,988500,965560,993690,995530
KAEDE.,995420,997570,997000,999690,999840,997060,999600,998580,993580,999610,999680,996260,987970,991890,965310,999590,995370,974910,993250,999510,998860,996970,990000,991450,994930,991690,994410,993780,978760,970850,991510,914680
HECATIER,996330,995880,---,976070,999700,---,---,992490,990260,990860,991390,991310,997480,937110,990910,993460,997550,992550,991000,992420,992660,999330,990810,993890,997310,992450,994810,991830,995700,990780,994930,991110
ALCAT,998640,999790,995850,998630,999710,994110,996140,996730,991260,997440,996040,999830,997480,990740,991180,997090,995350,985170,998020,994890,993480,999680,993160,980530,992970,994270,987260,991010,990530,960590,993050,994340
DOBUNE,981590,999680,---,---,982020,955810,---,977360,964430,---,994150,990520,997500,---,973520,---,997300,980010,984960,994180,964960,998670,992680,989360,997130,994900,994340,971360,999490,948560,996740,998600
