DANCER_NAME,bass 2 bass,DXY!,GLITTER,Jetcoaster Windy,KISS KISS KISS,MAX.(period),Star Gate Heaven (FUTURE LOVE Mix),創世ノート,BRILLIANT 2U (STREAM Special),DUAL STRIKER,Somehow You Found Me,Strawberry Chu♡Chu♡,The Ashes of Boreas,tokyoEVOLVED (TYPE2),革命(X-Special),Happy Dance Day 2 U,IRON HEART,Let's DANCE aROUND!!,PARANOiA Rebirth(X-Special),Plan 8,Reach The Sky Without you,未来（ダ）FUTURE,恋閃繚乱,ACE FOR ACES,DOUBLE TORNARD,insist,Prey,The legend of MAX,Robot Footwork,ENDYMION,The History of the Future,Dance Dance Revolution(X-Special)
LI-NO,999860,999850,999680,999750,999820,999830,999830,999700,999760,999790,999780,999770,997620,999730,999770,999820,999660,997800,999730,999470,997060,999840,997740,996190,998130,997870,996860,997920,997270,986000,997010,999810
TAIIGAME,999730,999740,992950,999740,999800,999750,999780,999480,999750,999610,999570,999700,997590,995310,992930,999700,999590,990760,999760,997330,995770,999780,991640,991940,995290,995140,996860,995150,994820,981260,996180,999890
IU-YOKA.,999790,999730,991310,---,---,999650,---,291960,997470,993240,---,---,988880,994120,988750,990850,---,979060,993620,997920,999440,999690,998390,987950,999420,987260,992470,999520,993110,995060,947020,994490
GARAMIMI,998750,999780,998050,999590,999840,995040,999790,999570,999830,999690,999850,999560,996770,993710,996630,999630,998500,993100,998980,995360,995730,998750,997890,994930,996400,994950,995790,992770,998590,985790,998780,999740
QU4RTZ,999830,999680,995420,999580,999720,992570,999710,996880,997320,999810,999670,999710,993300,974920,980360,999610,999580,957760,997290,999500,999630,997000,991640,980980,995810,995000,994030,991090,996470,993310,997000,---
LIGHTUN,999790,999780,999580,997860,988050,999820,999860,995880,999720,999080,998700,998750,995020,994160,993350,999610,997650,998630,992180,977180,997150,998810,996080,988990,997840,994290,983680,984950,994530,993120,996790,997690
LUNARTIC,999490,998470,---,992790,---,996120,998520,0,822350,998130,999660,991680,980890,959410,0,999440,999590,815370,999550,991470,738100,999670,994520,992610,999300,991970,995830,998710,996800,986370,998790,998620
SIANO,999730,999700,996450,997330,996390,988650,998620,996900,997340,999800,999720,996570,996750,993900,995270,999780,999750,995930,999590,998890,997810,999730,998590,990330,998860,996730,994460,995290,992800,992750,998050,999670
NAOTO,999740,997050,989360,---,998340,---,---,998840,---,---,997400,---,980630,---,---,995010,996670,---,997900,999620,999760,999790,997750,992230,998170,990600,993820,990780,978410,989460,---,998660
AAA,996160,997350,990550,996580,988270,949150,994900,988110,971370,992660,999510,---,---,---,984690,---,993450,969270,984070,997270,982340,998010,992820,987730,997100,989680,974490,981330,964840,978120,995050,997500
M!SH,999800,999810,999630,999670,999850,999700,999840,999690,999810,---,999670,---,998630,994940,966270,---,---,999470,---,999590,996160,999550,536840,---,---,995210,---,997760,---,---,---,999810
MOTTI,999870,999800,987140,---,999870,---,999740,997980,999740,998130,999680,999770,992490,986430,994280,999550,999830,996130,999700,997060,995820,999460,987300,994280,995490,992700,991680,994400,994590,950320,999720,999820
EDA-BEAN,999730,995050,991300,999630,989460,988930,977940,975990,974800,996430,988330,991060,983680,938680,970950,999840,999710,918030,982520,999610,990950,999400,994310,992220,995540,992540,994140,992640,973460,990830,984660,---
MUFFET,999720,996190,---,959180,995070,991290,949030,829710,985210,981620,996370,994390,990410,983100,997500,998290,999490,989490,998730,993220,997670,999530,995190,983570,994190,992050,983290,990120,984950,978650,---,993340
TOK0?,999600,999830,998010,994390,999800,997390,999810,994470,998550,996790,998710,999810,999620,990860,997610,996100,999610,991780,997040,998050,999550,999580,995070,991170,991810,998660,999380,996160,997270,997200,996430,996490
ATYN,995400,997140,987290,---,987460,991350,---,996210,981430,998780,996290,995530,984610,986570,992560,999570,992710,983210,998080,998960,995140,999610,996140,965040,997030,991680,998740,996020,973380,895950,997870,996540
WIZARD1,994330,998350,991510,979630,983460,991010,997280,992430,987270,998000,995330,984810,993950,991830,996340,996920,999670,990680,994510,990020,995300,997920,993890,990560,991180,984670,975590,997700,997060,980650,993100,---
CKWP,998570,999730,990340,996780,999700,993490,999650,997890,994910,999580,999680,996580,983540,994030,992380,998660,999390,984260,998020,996220,994230,999310,996600,984530,992090,969090,979920,980570,993760,981160,996070,997590
DORIA2,999860,999920,993130,999810,999840,999830,999770,999720,999520,999740,999750,999790,990540,995360,999720,999770,997710,996030,999650,999740,999610,996650,998650,997310,999650,994100,998770,992860,992380,997810,999530,997680
HAISHIN!,999710,995150,992230,990560,999830,991620,998510,998860,998330,997500,997830,999700,991330,992120,992210,997920,994340,---,999520,992880,983130,999430,991170,973510,---,977820,996890,991230,988500,965560,993690,995530
KAEDE.,997410,999710,997000,999690,999840,997240,999600,998580,993580,999660,999680,996260,990690,993660,965310,999590,998400,974910,998010,999510,998860,999660,995120,995540,998170,995640,999380,993780,993150,970850,991510,914680
HECATIER,996330,995880,---,976070,999700,---,---,992490,990260,990860,991390,991310,997480,937110,990910,993460,997550,992550,991000,992420,992660,999330,990810,993890,997310,992450,994810,991830,995700,990780,994930,991110
ALCAT,998640,999790,995850,998630,999710,994110,996140,996730,991260,997440,996040,999830,997480,990740,991180,997090,995350,985170,998020,994890,993480,999680,993160,980530,992970,994270,987260,991010,990530,960590,993050,994340
DOBUNE,981590,999680,---,---,982020,955810,---,977360,964430,---,994150,990520,997500,---,973520,---,997300,980010,984960,994180,964960,998670,992680,989360,997130,994900,994340,971360,999490,948560,996740,998600
