DANCER_NAME,bass 2 bass,DXY!,GLITTER,Jetcoaster Windy,KISS KISS KISS,MAX.(period),Star Gate Heaven (FUTURE LOVE Mix),創世ノート,BRILLIANT 2U (STREAM Special),DUAL STRIKER,Somehow You Found Me,Strawberry Chu♡Chu♡,The Ashes of Boreas,tokyoEVOLVED (TYPE2),革命(X-Special),Happy Dance Day 2 U,IRON HEART,Let's DANCE aROUND!!,PARANOiA Rebirth(X-Special),Plan 8,Reach The Sky, Without you,未来（ダ）FUTURE,恋閃繚乱,ACE FOR ACES,DOUBLE TORNARD,insist,Prey,The legend of MAX,Robot Footwork,ENDYMION,The History of the Future,Dance Dance Revolution(X-Special)
LI-NO,999900,999850,999680,999750,999820,999830,999830,999700,999760,999790,999780,999810,997620,999730,999770,999820,999660,999480,999850,999470,999610,999840,997740,996190,998130,997870,996860,997920,997270,986000,997010,999810
TAIIGAME,999730,999780,993110,999740,999850,999750,999780,999480,999750,999610,999570,999700,997590,995310,992930,999700,999590,998690,999760,998780,995770,999780,991640,991940,995290,995140,996860,995150,998500,981260,996180,999890
IU-YOKA.,999790,999730,991310,---,994830,999650,---,993300,997470,993240,---,999740,990670,997440,995320,990850,998740,994440,998950,998190,999440,999690,999310,997490,999420,994880,995370,999520,993110,995060,947020,998540
GARAMIMI,999860,999820,998050,999630,999840,997420,999850,999570,999830,999690,999850,999560,997810,997520,996630,999630,998760,995560,998980,997960,999660,999700,999440,995370,996400,994950,996120,996300,998590,991390,998780,999740
QU4RTZ,999830,999710,999650,999730,999870,999830,999810,999810,999710,999810,999770,999710,999570,999640,994460,999730,999860,994680,999770,999740,999680,999780,996740,998060,998730,995140,999580,996650,998160,997050,998900,---
LIGHTUN,999790,999860,999580,999690,998710,999820,999860,997360,999840,999840,998700,998750,995020,997500,998650,999610,997760,998630,996700,984070,997150,998810,996080,988990,997840,995020,983680,990480,996360,993120,998930,999810
LUNARTIC,999490,998650,997240,998560,---,999770,998520,998940,992140,999620,999820,999630,990750,959410,988790,999440,999590,994340,999550,996360,997190,999760,994520,994570,999300,997650,995830,998710,999510,995660,998790,999820
SIANO,999820,999750,997140,997330,999780,988650,999760,998730,999800,999800,999810,998550,998470,999630,999680,999780,999750,999450,999720,998890,998810,999810,998590,990330,998860,996730,994460,995290,992800,992750,998050,999680
NAOTO,999740,999670,998670,996890,999710,996070,---,998840,---,---,999720,---,980630,---,975600,995010,996670,957860,999800,999620,999760,999920,997880,992230,999420,992940,993820,990780,978410,989460,---,999830
AAA,996160,997350,990550,996580,988270,949150,994900,988110,971370,992660,999510,---,---,---,984690,---,993450,969270,984070,997270,982340,998010,992820,987730,997100,989680,974490,981330,964840,978120,995050,997500
M!SH,999870,999920,999630,999700,999850,999700,999840,999690,999810,999650,999770,999700,998630,999700,998650,999740,999720,999470,---,999590,997800,999760,997070,994420,997410,997710,997550,998720,997430,---,---,999810
MOTTI,999870,999810,997290,998550,999890,991700,999910,999460,999770,998130,999810,999770,992490,997480,996510,999760,999830,998680,999750,998940,998960,999770,994570,996310,996470,994090,996030,994400,995320,988900,999720,999820
EDA-BEAN,999880,999810,997840,999670,999840,999880,999730,999500,999900,999810,999540,999570,997680,999770,999710,999840,999710,992670,998810,999610,996700,999790,997850,996930,998880,996730,994140,998580,991200,990830,999510,999770
MUFFET,999720,998620,993750,997790,998410,999510,998480,996340,997200,998810,998630,994500,990410,988130,997500,999380,999490,992470,998730,994500,999480,999530,995190,989470,996450,992050,988080,990120,984950,978650,993500,997350
TOK0?,999690,999830,999720,999770,999800,999670,999810,998970,999700,999710,998710,999810,999620,997480,997610,999720,999610,994350,999750,998050,999550,999580,995070,993800,994880,998660,999380,996280,997270,997200,996430,999700
ATYN,998610,997140,989960,998630,999730,998570,999800,996880,998560,999700,999800,999630,995070,994190,995380,999570,998600,996090,999900,998970,999690,999730,998710,993730,998670,991680,998740,999290,989290,957750,999770,998690
WIZARD1,999640,999780,996320,999630,999730,999830,999700,999450,997280,999570,995330,998770,994080,999600,996340,996920,999670,990680,994990,990020,998780,997920,994800,990560,998120,994330,977560,997700,997060,980650,993100,999820
CKWP,999660,999730,999480,999410,999700,999580,999650,999610,999680,999660,999680,999430,991520,998430,997390,999770,999720,993430,999700,999510,999490,999310,996600,990770,997090,990410,994270,991970,996660,981160,996070,999740
DORIA2,999860,999920,999660,999870,999840,999830,999770,999740,999520,999900,999870,999840,996780,999800,999720,999770,999730,999670,999760,999740,999910,999720,999530,998710,999740,999320,999440,992860,992380,997990,999840,999790
HAISHIN!,999890,999910,999690,999830,999960,999880,999910,998940,999780,999810,999940,999770,999400,998700,998760,999840,999690,995290,999720,996170,998080,999760,997160,989230,999560,996840,996890,995110,996850,989220,997200,999840
KAEDE.,999760,999710,997000,999690,999840,998500,999670,998770,998580,999660,999680,999380,994000,998560,986340,999590,999430,997760,998150,999510,999630,999670,997710,995540,998170,996660,999380,996830,994590,990350,991510,997630
HECATIER,996330,996770,995450,976070,999700,975230,994800,992490,992560,990860,991390,991310,997480,981500,990910,993460,997550,992550,991000,992420,992660,999330,990810,993890,997310,992450,994810,991830,995700,990780,994930,991110
ALCAT,998640,999790,997170,999510,999890,999760,999570,998770,998480,999740,998640,999830,997480,994210,996550,998670,995350,985170,998020,994890,996750,999680,993160,988630,992970,994270,987260,991010,990530,973030,993050,999580
DOBUNE,981590,999680,995310,995000,999890,968430,997440,995770,986990,---,998720,994570,997500,974590,998660,998820,997300,981590,995090,994180,996270,998670,992680,989360,997130,994900,994340,971360,999490,978480,997140,998600
